Country,JobSatisfaction,CareerSatisfaction
United States,4,5
United States,5,5
India,NA,5
United States,NA,5
Germany,3,5
India,NA,NA
Canada,0,5
United States,NA,5
Italy,6,5
India,6,5
India,5,5
India,7,5
India,5,5
India,NA,NA
United States,NA,5
Germany,2,5
United Kingdom,6,5
United States,NA,5
France,NA,NA
China,NA,NA
Bulgaria,4,5
Australia,NA,NA
Germany,7,5
United States,8,5
United States,5,5
India,NA,NA
India,5,5
India,5,5
United Kingdom,3,5
United States,5,5
Australia,4,5
Germany,NA,NA
Germany,8,5
France,NA,NA
India,6,5
United States,7,5
Belgium,NA,NA
Italy,6,5
India,6,5
Australia,5,5
United States,5,5
United Kingdom,7,5
United States,3,6
United States,NA,NA
France,8,6
United Kingdom,NA,6
United States,6,6
Brazil,5,6
Italy,7,6
France,2,6
Germany,NA,NA
United States,5,6
Brazil,6,6
Italy,7,6
India,5,6
United Kingdom,NA,NA
India,7,6
Canada,4,6
France,5,6
Canada,4,6
Canada,7,6
United States,6,6
United States,NA,NA
United Kingdom,7,6
France,NA,6
Canada,8,6
India,4,6
United States,NA,NA
United States,5,6
Germany,NA,NA
Canada,4,6
United States,NA,6
United Kingdom,6,6
Brazil,5,6
Germany,9,6
United States,3,6
Canada,NA,NA
United States,6,6
Germany,5,6
United States,7,6
United States,6,6
Canada,8,6
Germany,NA,NA
Germany,NA,NA
United States,NA,6
Canada,4,6
United States,6,6
United States,5,6
United States,8,6
United States,4,6
United States,9,6
United States,6,6
United Kingdom,4,6
United States,8,6
India,6,6
Brazil,6,6
United Kingdom,6,6
United States,6,6
United States,6,6
United States,6,6
United Kingdom,NA,NA
Canada,7,6
Germany,6,6
United States,6,6
Brazil,6,6
United Kingdom,6,6
United States,2,6
Germany,6,6
United States,7,6
Brazil,6,6
United Kingdom,4,6
United States,5,6
United States,7,6
United Kingdom,2,6
France,7,6
United Kingdom,7,6
Canada,7,6
United States,6,6
Germany,6,6
United Kingdom,6,6
Germany,NA,NA
Australia,2,6
United States,6,6
United States,3,6
United States,6,6
France,NA,NA
France,NA,NA
United Kingdom,NA,NA
United Kingdom,NA,NA
United States,3,6
United States,5,6
United Kingdom,NA,NA
United States,NA,NA
United States,6,6
United States,NA,NA
Germany,6,6
United States,3,6
United Kingdom,7,6
Canada,7,6
Germany,NA,NA
United States,7,6
United Kingdom,4,6
United Kingdom,5,6
United States,3,6
India,6,6
United Kingdom,8,6
United Kingdom,5,6
United Kingdom,5,6
United States,8,6
United States,6,6
Cameroon,NA,NA
United Kingdom,5,6
United States,4,6
United Kingdom,NA,6
United States,6,6
United States,NA,NA
United States,NA,NA
Canada,6,6
Canada,9,6
Canada,NA,NA
Canada,7,6
United States,4,6
United States,4,6
United States,6,6
United States,5,6
United States,6,6
United States,4,6
India,NA,NA
United States,6,6
Australia,4,6
United States,5,6
Australia,4,6
Canada,4,6
United States,8,6
France,6,6
Germany,7,6
United States,8,6
United States,8,6
Italy,7,6
United States,5,6
United States,7,6
United States,2,6
United Kingdom,6,6
United States,6,6
United States,8,6
Belgium,7,6
United States,2,6
Australia,4,6
United States,7,6
Netherlands,7,6
Germany,NA,NA
United States,NA,NA
United States,2,6
Canada,5,6
United States,NA,NA
Germany,2,6
United Kingdom,7,6
Germany,NA,NA
United States,4,6
United States,7,6
United States,5,6
Australia,8,6
United States,NA,NA
United States,NA,NA
United States,6,6
Australia,6,6
United States,8,6
United States,6,6
Netherlands,NA,NA
United States,4,6
United States,4,6
United States,2,6
Canada,7,6
United States,6,6
United States,3,6
China,3,6
United States,NA,6
United Kingdom,5,6
Italy,5,6
United States,NA,NA
United States,7,6
Netherlands,NA,NA
China,7,6
United States,NA,NA
United States,8,6
United States,6,6
Canada,5,6
United States,6,6
United States,7,6
United Kingdom,NA,NA
China,8,6
United States,7,6
Canada,NA,NA
Canada,6,6
United Kingdom,7,6
Australia,6,6
Australia,7,6
United States,8,6
United States,7,6
India,6,6
Bangladesh,NA,NA
United States,6,6
Canada,6,6
China,6,6
Italy,NA,NA
France,NA,NA
India,6,6
India,6,6
United States,5,6
India,3,6
China,6,6
United States,NA,NA
United States,7,6
India,5,6
Netherlands,2,6
China,5,6
India,7,6
India,4,6
Italy,5,6
India,3,6
India,6,6
India,4,6
India,6,6
United States,8,6
Germany,5,6
Germany,4,6
Germany,6,6
Netherlands,8,6
Canada,NA,NA
United States,8,6
Germany,7,6
Italy,8,6
Germany,8,6
Italy,6,6
United States,6,6
India,NA,NA
Iraq,NA,NA
United States,NA,NA
United States,NA,NA
United States,NA,NA
China,6,6
United States,NA,NA
India,4,6
India,6,6
India,NA,NA
United Kingdom,NA,NA
France,6,6
Netherlands,NA,NA
United Kingdom,4,6
India,5,6
Italy,5,6
Italy,9,6
United States,NA,NA
Italy,6,6
Germany,6,6
Germany,6,6
Germany,4,6
Germany,6,6
India,4,6
United Kingdom,3,6
Canada,NA,NA
Netherlands,8,6
India,6,6
Germany,6,6
India,8,6
India,2,6
India,5,6
United States,6,6
India,6,6
Netherlands,6,6
United Kingdom,NA,NA
India,6,6
Canada,NA,NA
India,8,6
Belgium,6,6
Germany,NA,NA
Canada,NA,NA
Germany,NA,NA
United States,NA,NA
India,4,6
Brazil,NA,NA
United Kingdom,7,6
China,7,6
India,4,6
United States,NA,NA
United States,NA,6
Germany,5,6
Germany,NA,NA
France,6,6
Brazil,6,6
Italy,5,6
Bulgaria,NA,NA
United States,7,6
India,6,6
France,7,6
India,2,6
India,6,6
United Kingdom,1,6
Bulgaria,8,6
Brazil,7,6
United Kingdom,6,6
Brazil,6,6
United Kingdom,7,6
United Kingdom,7,6
Germany,NA,NA
United States,4,6
Netherlands,NA,NA
France,6,6
Netherlands,5,6
United Kingdom,6,6
Brazil,NA,NA
India,5,6
India,3,6
United Kingdom,NA,NA
United States,NA,NA
United States,NA,NA
Italy,1,6
Brazil,7,6
United States,NA,NA
Brazil,NA,NA
United Kingdom,NA,NA
United Kingdom,6,6
India,5,6
Germany,NA,NA
United States,NA,NA
Canada,5,6
United States,NA,NA
Germany,7,6
United Kingdom,7,6
United States,NA,NA
United Kingdom,6,6
United States,7,6
Canada,NA,NA
India,5,6
United States,NA,NA
India,6,6
Germany,NA,NA
Italy,7,6
Canada,6,6
United States,NA,NA
United States,3,6
Brazil,4,6
Brazil,4,6
Germany,8,6
United States,8,6
United States,NA,NA
United States,NA,NA
Bulgaria,6,6
United Kingdom,5,6
United States,6,6
United States,NA,NA
Germany,NA,NA
Canada,9,6
India,6,6
United States,NA,NA
Germany,8,6
United States,7,6
Bulgaria,6,6
United States,NA,NA
Italy,7,6
Canada,NA,NA
United Kingdom,7,6
United States,NA,NA
Belgium,5,6
United States,4,6
United Kingdom,5,6
United Kingdom,5,6
Germany,NA,NA
United Kingdom,6,6
Germany,NA,NA
United States,NA,NA
India,6,6
Germany,8,6
Italy,6,6
Germany,NA,NA
United States,NA,NA
United Kingdom,9,6
United Kingdom,2,6
Canada,NA,NA
Bangladesh,NA,NA
United States,NA,NA
France,NA,NA
Bulgaria,6,6
United States,4,6
France,2,6
Germany,8,6
United States,8,6
United States,NA,NA
United Kingdom,7,6
United Kingdom,2,6
United States,NA,NA
Germany,4,6
Netherlands,7,6
United States,NA,NA
United States,NA,NA
Italy,6,6
China,6,6
India,NA,NA
United States,NA,NA
United States,NA,NA
Canada,NA,NA
United States,NA,NA
Australia,6,6
Belgium,6,6
United Kingdom,8,6
France,7,6
Bulgaria,5,6
France,NA,NA
United States,6,6
India,NA,NA
United States,6,6
Germany,7,6
United Kingdom,5,6
United States,6,6
United States,8,6
United States,6,6
United States,6,6
Belgium,6,6
United States,10,6
United States,NA,NA
Germany,NA,NA
United Kingdom,7,6
United States,NA,NA
United States,NA,NA
Canada,8,6
United States,6,6
Belgium,6,6
Brazil,6,6
Italy,5,6
India,5,6
United States,5,6
India,6,6
India,NA,NA
United States,6,6
Italy,8,6
United States,8,6
United Kingdom,4,6
France,6,6
India,NA,NA
United Kingdom,0,6
Germany,8,6
United States,9,6
United States,8,6
Canada,3,6
Germany,3,6
Germany,5,6
United Kingdom,6,6
United States,4,6
Canada,6,6
United States,4,6
United Kingdom,6,6
India,NA,NA
United States,NA,NA
United Kingdom,8,6
United Kingdom,3,6
United Kingdom,NA,NA
India,7,6
India,6,6
United States,8,6
United States,1,6
United States,7,6
United States,NA,NA
Bulgaria,5,6
India,NA,NA
United States,7,6
United States,5,6
United States,7,6
United States,3,6
United States,8,6
India,6,6
Canada,6,6
United States,5,6
United States,5,6
United States,8,6
United States,4,6
Canada,7,6
India,NA,NA
United States,8,6
India,NA,NA
United States,8,6
United States,3,6
United States,4,6
United States,6,6
United States,5,6
United Kingdom,4,6
Germany,NA,NA
United States,5,6
United States,3,6
Italy,6,6
India,NA,NA
India,6,6
India,5,6
United Kingdom,NA,6
United States,4,6
Germany,7,6
Canada,NA,NA
United Kingdom,6,6
United States,7,6
United States,6,6
United States,4,6
Germany,5,6
Germany,5,6
United States,6,6
United Kingdom,6,6
Italy,NA,NA
Canada,6,6
France,10,6
Italy,4,6
United States,6,6
Canada,6,6
Italy,NA,NA
United States,4,6
United States,7,6
United States,4,6
United States,7,6
Australia,8,6
United States,NA,6
United States,5,6
Canada,4,6
Australia,3,6
India,NA,NA
India,4,6
India,NA,NA
India,NA,NA
India,NA,NA
India,6,6
India,6,6
United Kingdom,NA,NA
Germany,2,6
India,5,6
United Kingdom,7,6
India,NA,NA
United Kingdom,0,6
China,NA,NA
Italy,NA,NA
Netherlands,7,6
India,7,6
India,NA,NA
United Kingdom,5,6
United Kingdom,3,6
United Kingdom,7,6
United Kingdom,NA,NA
United States,3,6
India,NA,NA
France,NA,NA
United Kingdom,5,6
India,NA,6
Germany,NA,NA
Australia,5,6
Germany,NA,NA
Germany,7,6
Germany,7,6
Cameroon,NA,NA
France,6,6
Brazil,9,6
Germany,7,6
India,NA,NA
Bangladesh,NA,NA
United Kingdom,6,6
India,NA,NA
Germany,7,6
United Kingdom,9,6
India,7,6
India,NA,6
Australia,NA,NA
United States,NA,6
Germany,6,6
United States,7,6
India,6,6
India,NA,NA
Germany,6,6
United States,NA,6
Germany,6,6
United Kingdom,NA,NA
United States,6,6
Italy,7,6
Bangladesh,NA,NA
Australia,NA,6
Cameroon,NA,NA
United States,6,6
France,9,6
France,3,6
India,NA,NA
United States,NA,6
France,NA,NA
India,4,6
Australia,4,6
United States,7,6
India,NA,NA
United States,4,6
India,7,6
United States,3,6
Canada,NA,NA
Germany,5,6
United States,6,6
India,NA,6
United Kingdom,7,6
India,NA,NA
Germany,NA,NA
India,7,6
United Kingdom,NA,NA
United States,7,6
Brazil,8,6
Germany,NA,NA
India,NA,NA
India,4,6
China,NA,NA
Bangladesh,NA,6
United States,6,6
Germany,NA,NA
United States,NA,NA
United Kingdom,7,6
China,5,6
Germany,7,6
Australia,8,6
Brazil,5,6
Jamaica,NA,NA
India,4,6
Netherlands,8,6
Germany,NA,NA
Germany,4,6
Canada,6,6
France,4,6
Germany,3,6
Italy,NA,NA
Australia,3,6
United States,7,6
Belgium,7,6
United States,8,6
India,7,6
United States,4,6
Germany,7,6
India,7,6
India,6,6
India,6,6
China,4,6
India,6,6
China,7,6
India,9,6
United Kingdom,NA,NA
India,8,6
Bulgaria,NA,NA
India,6,6
India,7,6
India,6,6
China,2,6
Germany,NA,NA
United Kingdom,7,6
Italy,6,6
India,5,6
Belgium,3,6
United Kingdom,NA,NA
India,7,6
Germany,6,6
Italy,6,6
United States,NA,NA
Netherlands,8,6
United States,NA,NA
India,NA,NA
Germany,NA,NA
India,6,6
India,8,6
Italy,8,6
Netherlands,7,6
United Kingdom,7,6
India,NA,NA
India,NA,NA
India,NA,NA
India,NA,NA
India,NA,NA
Canada,NA,NA
United Kingdom,6,6
Germany,8,6
Italy,NA,NA
Germany,8,6
Germany,8,6
India,6,6
France,8,6
India,9,6
United States,6,6
United States,NA,NA
Netherlands,6,6
Italy,2,6
Germany,5,6
Germany,5,6
United Kingdom,5,6
Germany,NA,6
United States,7,6
Germany,5,6
India,6,6
United States,NA,NA
United States,NA,NA
Germany,9,6
United Kingdom,6,6
United States,6,6
India,NA,6
Germany,7,6
Germany,7,6
United States,NA,NA
India,NA,NA
France,2,6
Canada,6,6
United Kingdom,NA,NA
Italy,6,6
India,6,6
United States,NA,NA
Germany,8,6
Germany,7,6
United Kingdom,4,6
United States,5,6
Brazil,6,6
United States,1,6
United Kingdom,3,6
United States,9,6
Australia,5,6
United States,7,6
United States,6,6
Australia,3,6
Canada,4,6
Australia,5,6
Canada,6,6
United States,NA,NA
Canada,8,6
United States,NA,6
Australia,6,6
United States,NA,NA
India,6,6
United States,8,6
India,8,6
India,6,6
India,8,6
Canada,NA,NA
United Kingdom,7,6
India,6,6
Germany,7,6
India,5,6
United Kingdom,7,6
United Kingdom,2,6
Germany,5,6
France,NA,NA
Netherlands,5,6
Australia,NA,NA
United Kingdom,6,6
United Kingdom,7,6
France,7,6
Germany,6,6
United Kingdom,5,6
Italy,NA,NA
United States,NA,NA
United States,NA,NA
United Kingdom,4,6
United Kingdom,NA,NA
India,9,6
India,2,6
United Kingdom,7,6
India,5,6
Brazil,7,6
India,5,6
India,6,6
Canada,8,6
United Kingdom,5,6
United Kingdom,9,6
United Kingdom,2,6
Netherlands,NA,NA
India,6,6
Canada,NA,NA
India,NA,6
India,5,6
India,6,6
India,7,6
Germany,6,6
United States,NA,NA
United States,NA,NA
Germany,5,6
India,5,6
Belgium,6,6
United States,NA,NA
Italy,6,6
Germany,NA,NA
United States,NA,NA
United Kingdom,8,6
China,NA,NA
France,6,6
United Kingdom,NA,6
Germany,5,6
United States,NA,NA
United Kingdom,4,6
United Kingdom,6,6
United Kingdom,6,6
Canada,NA,NA
Canada,6,6
United States,NA,NA
United States,6,6
United Kingdom,6,6
United States,7,6
United States,4,6
India,8,6
India,6,6
United States,6,6
Italy,7,6
Brazil,NA,NA
United Kingdom,NA,6
Germany,6,6
Belgium,6,6
United States,6,6
United States,NA,6
United States,NA,NA
Netherlands,NA,6
United States,6,6
United States,6,6
Canada,NA,NA
United States,5,6
Australia,5,6
United States,6,6
Bulgaria,9,6
Italy,5,6
United States,7,6
Australia,7,6
United States,6,6
India,NA,NA
United States,6,6
United Kingdom,8,6
France,7,6
United States,7,6
United States,8,6
India,3,6
Canada,6,6
United States,8,6
United States,4,6
Italy,7,6
Canada,NA,NA
United States,5,6
United States,6,6
Canada,8,6
United States,6,6
United States,4,6
United States,8,6
United States,6,6
United States,7,6
United States,7,6
United States,7,6
Canada,0,6
United States,6,6
India,6,6
United States,NA,6
India,4,6
India,6,6
India,6,6
Italy,7,6
United States,NA,NA
United States,8,6
United States,8,6
France,7,6
United Kingdom,8,6
Germany,4,6
China,7,6
United States,NA,NA
Australia,3,6
Germany,NA,NA
Italy,NA,6
United States,NA,NA
Australia,NA,NA
India,6,6
United Kingdom,6,6
India,5,6
India,NA,NA
France,5,6
India,NA,NA
India,NA,NA
Bulgaria,9,6
India,4,6
India,5,6
United States,9,6
Brazil,8,6
Germany,7,6
Canada,3,6
Italy,6,6
India,4,6
India,6,6
Germany,6,6
Germany,4,6
India,7,6
India,8,6
India,5,6
France,6,6
United States,7,6
United Kingdom,4,6
United States,9,6
United States,6,6
United States,6,6
United States,5,6
United States,8,6
United Kingdom,7,6
United States,7,6
Bulgaria,6,6
United States,7,6
Germany,NA,NA
India,3,6
Germany,NA,NA
United States,8,6
United States,8,6
Brazil,7,6
United States,2,6
India,NA,NA
Bulgaria,NA,NA
United States,4,6
Germany,6,6
Bulgaria,5,6
United States,7,6
United States,5,6
Germany,NA,NA
Brazil,6,6
France,7,6
United Kingdom,6,6
United States,4,6
United States,6,6
United States,NA,6
Australia,6,6
Canada,7,6
Germany,5,6
United States,8,6
Canada,6,6
United Kingdom,6,6
Canada,7,6
Italy,6,6
United States,6,6
United States,4,6
China,5,6
United States,7,6
Italy,NA,NA
United States,1,6
United States,8,6
Canada,NA,6
India,NA,NA
India,6,6
Germany,3,6
France,5,6
Bangladesh,NA,NA
India,6,6
India,NA,NA
Germany,NA,NA
United Kingdom,8,6
India,6,6
India,NA,6
United Kingdom,5,6
Italy,5,6
France,8,6
France,6,6
France,NA,NA
India,9,6
Italy,7,6
France,7,6
Germany,6,6
United Kingdom,6,6
India,6,6
Italy,7,6
India,6,6
Italy,NA,6
Germany,4,6
Canada,7,6
Germany,3,6
United States,9,6
Bulgaria,6,6
Germany,6,6
United Kingdom,7,6
United States,6,6
Germany,7,6
Bangladesh,6,6
India,3,6
India,6,6
Canada,6,6
India,NA,NA
France,3,6
United States,8,6
United States,5,6
Brazil,4,6
United States,2,6
Italy,6,6
Canada,3,6
United Kingdom,5,6
India,9,6
United States,5,6
United States,7,6
United States,6,6
United States,3,6
India,4,6
United States,6,6
United States,8,6
India,6,6
United States,NA,6
Germany,2,6
Netherlands,4,6
United States,7,6
India,NA,NA
United States,4,6
United States,5,6
Netherlands,5,6
Canada,6,6
United States,5,6
Germany,8,6
United States,5,6
United Kingdom,5,6
United States,NA,6
United States,5,6
United States,8,6
Canada,6,6
Germany,6,6
United States,6,6
United States,5,6
United States,6,6
Germany,8,6
United States,9,6
India,NA,NA
United States,7,6
Canada,NA,6
Australia,7,6
United States,5,6
United States,6,6
Netherlands,7,6
United States,7,6
Canada,7,6
United States,6,6
United States,6,6
United States,3,6
United States,6,6
Australia,8,6
United States,3,6
United States,3,6
United States,5,6
United States,4,6
United States,6,6
Bangladesh,5,6
United States,6,6
Canada,6,6
United States,7,6
India,6,6
Australia,NA,6
Australia,3,6
Canada,3,6
Germany,NA,NA
United States,5,6
India,6,6
India,6,6
United States,7,6
India,6,6
India,3,6
India,NA,NA
United States,7,6
Canada,6,6
India,7,6
India,8,6
Germany,3,6
India,5,6
India,6,6
India,7,6
China,5,6
Australia,6,6
India,6,6
Belgium,6,6
France,NA,NA
France,7,6
India,NA,NA
India,3,6
Germany,3,6
United Kingdom,7,6
United Kingdom,5,6
India,7,6
Bulgaria,9,6
United Kingdom,7,6
United Kingdom,6,6
India,NA,NA
United States,6,6
United Kingdom,8,6
India,7,6
India,2,6
United Kingdom,5,6
China,6,6
India,5,6
India,7,6
Germany,8,6
Germany,6,6
India,NA,NA
Germany,NA,NA
United States,10,6
France,5,6
Australia,NA,NA
United Kingdom,3,6
Belgium,7,6
United Kingdom,4,6
United Kingdom,10,6
United States,9,6
United States,5,6
Netherlands,6,6
Germany,NA,6
Germany,7,6
France,4,6
United Kingdom,3,6
India,NA,NA
France,6,6
India,6,6
Brazil,7,6
United States,6,6
Germany,3,6
United States,7,6
United States,4,6
India,7,6
United Kingdom,6,6
United States,7,6
United States,8,6
Bangladesh,7,6
Canada,5,6
United States,4,6
India,6,6
India,4,6
Canada,6,6
United States,8,6
Canada,8,6
United States,3,6
Belgium,5,6
United States,8,6
United States,3,6
United States,7,6
United States,4,6
Belgium,8,6
India,2,6
United States,6,6
Bulgaria,6,6
United States,5,6
United States,6,6
France,NA,6
United States,6,6
United States,6,6
United States,4,6
United States,5,6
United States,5,6
Italy,7,6
Germany,4,6
United Kingdom,10,6
France,NA,NA
United States,7,6
United States,NA,6
France,NA,NA
United States,6,6
United Kingdom,NA,NA
United States,6,6
United States,0,6
United States,NA,6
United States,NA,6
Germany,NA,NA
United States,NA,6
United States,8,6
India,6,6
China,NA,6
Germany,NA,NA
Germany,5,6
India,6,6
India,7,6
India,6,6
Germany,6,6
Italy,NA,NA
United States,5,6
India,7,6
Germany,8,6
United Kingdom,9,6
India,5,6
Germany,7,6
India,7,6
France,7,6
India,3,6
United Kingdom,NA,NA
Germany,NA,NA
Belgium,7,6
Netherlands,6,6
United States,6,6
India,NA,6
India,6,6
United Kingdom,8,6
Australia,3,6
Germany,6,6
Canada,6,6
United States,6,6
Germany,4,6
United Kingdom,4,6
France,5,6
Germany,NA,NA
Bulgaria,6,6
United Kingdom,7,6
India,6,6
Bangladesh,NA,NA
India,5,6
United Kingdom,7,6
Germany,4,6
France,10,6
United States,NA,6
India,NA,6
United Kingdom,5,6
United States,5,6
United States,4,6
Germany,NA,6
Germany,6,6
India,6,6
United Kingdom,9,6
India,6,6
Germany,NA,NA
United States,7,6
India,NA,NA
India,7,6
India,8,6
Germany,9,6
United States,6,6
Bangladesh,NA,NA
Germany,4,6
Canada,NA,NA
India,4,6
Germany,7,6
Germany,9,6
Germany,NA,NA
Italy,7,6
Germany,7,6
Germany,NA,NA
India,4,6
India,NA,NA
Germany,NA,NA
United Kingdom,9,6
Bulgaria,7,6
United Kingdom,5,6
Germany,5,6
Italy,6,6
United States,4,6
United States,7,6
India,6,6
Netherlands,7,6
Bulgaria,8,6
United Kingdom,8,6
Canada,NA,6
Germany,7,6
United States,3,6
United States,7,6
Australia,5,6
United States,6,6
India,NA,NA
Canada,7,6
United States,7,6
United States,7,6
India,6,6
Australia,6,6
United States,4,6
India,5,6
India,6,6
Germany,6,6
India,6,6
United States,7,6
Australia,NA,6
Germany,5,6
India,8,6
France,6,6
China,5,6
India,5,6
Germany,5,6
Netherlands,7,6
Belgium,7,6
Germany,7,6
Germany,NA,NA
India,4,6
Germany,5,6
United Kingdom,0,6
Italy,3,6
Canada,NA,NA
Germany,NA,NA
Netherlands,NA,NA
India,7,6
Italy,6,6
India,5,6
India,6,6
Germany,7,6
India,6,6
Germany,9,6
India,4,6
United Kingdom,6,6
Germany,8,6
India,5,6
Australia,8,6
Germany,6,6
France,6,6
India,NA,6
United Kingdom,6,6
India,6,6
India,5,6
India,5,6
Italy,6,6
France,5,6
United Kingdom,8,6
United Kingdom,6,6
Bulgaria,4,6
Italy,8,6
Germany,NA,NA
India,NA,NA
Italy,7,6
United Kingdom,6,6
United States,NA,NA
France,6,6
Italy,8,6
United States,3,6
France,NA,NA
United Kingdom,6,6
Italy,6,6
France,5,6
United Kingdom,7,6
United Kingdom,NA,NA
United States,6,6
United Kingdom,4,6
Brazil,8,6
United Kingdom,6,6
United Kingdom,7,6
Germany,9,6
United States,7,6
United States,5,6
United States,6,6
United Kingdom,7,6
United States,6,6
United States,7,6
France,NA,6
United States,3,6
United Kingdom,4,6
United Kingdom,2,6
France,8,6
United Kingdom,6,6
United States,8,6
United States,2,6
United States,7,6
United States,6,6
United Kingdom,4,6
United States,6,6
Canada,6,6
United Kingdom,7,6
Brazil,8,6
United States,6,6
France,6,6
Australia,NA,6
France,NA,NA
United States,7,6
Canada,6,6
Brazil,7,6
Canada,7,6
Australia,6,6
Bangladesh,8,6
United States,NA,6
Netherlands,NA,NA
Germany,6,6
United States,6,6
India,3,6
India,7,6
India,7,6
Germany,5,6
India,8,6
India,7,6
United States,NA,6
India,4,6
India,8,6
India,8,6
India,5,6
Canada,NA,NA
India,6,6
India,6,6
India,5,6
France,4,6
Canada,NA,NA
Germany,5,6
Germany,9,6
United Kingdom,6,6
United Kingdom,8,6
Germany,6,6
United Kingdom,7,6
United Kingdom,8,6
Italy,7,6
India,4,6
France,6,6
United States,NA,NA
India,7,6
United Kingdom,2,6
Bulgaria,7,6
Germany,3,6
India,6,6
India,5,6
Germany,8,6
United Kingdom,6,6
Belgium,7,6
India,5,6
United Kingdom,3,6
India,7,6
India,7,6
Germany,2,6
India,4,6
Belgium,7,6
Germany,8,6
United Kingdom,6,6
United Kingdom,6,6
Netherlands,8,6
Germany,5,6
India,4,6
United Kingdom,3,6
Netherlands,7,6
United Kingdom,NA,NA
France,3,6
United Kingdom,9,6
Germany,NA,NA
United States,7,6
United Kingdom,6,6
Brazil,NA,NA
India,6,6
Brazil,4,6
Italy,7,6
United Kingdom,NA,NA
United Kingdom,4,6
Canada,NA,NA
United Kingdom,5,6
United Kingdom,6,6
India,7,6
France,5,6
Germany,9,6
France,9,6
Germany,NA,6
Canada,NA,NA
India,NA,NA
Brazil,4,6
United Kingdom,7,6
India,6,6
France,7,6
Germany,NA,6
Canada,NA,NA
United States,5,6
Germany,5,6
France,5,6
United States,4,6
United Kingdom,7,6
Germany,5,6
Bangladesh,6,6
United States,5,6
United States,NA,NA
Netherlands,6,6
Germany,NA,6
India,0,6
United States,9,6
United States,NA,NA
France,8,6
Brazil,6,6
India,6,6
United States,6,6
Canada,6,6
Canada,NA,NA
United States,4,6
Germany,4,6
Canada,NA,NA
United Kingdom,NA,NA
Canada,NA,NA
United States,3,6
France,6,6
United States,5,6
United States,6,6
France,5,6
United States,2,6
Germany,NA,NA
Germany,NA,NA
United States,5,6
United States,7,6
France,5,6
United States,6,6
France,8,6
United States,6,6
United Kingdom,NA,6
Germany,4,6
Canada,NA,6
United States,4,6
United Kingdom,5,6
United Kingdom,6,6
United States,9,6
United States,7,6
United States,6,6
China,8,6
United States,5,6
United States,7,6
United States,NA,NA
United States,8,6
Canada,7,6
Canada,7,6
China,6,6
United Kingdom,NA,NA
United States,NA,NA
India,1,6
Canada,NA,NA
Bangladesh,NA,6
United Kingdom,NA,NA
India,8,6
Bangladesh,8,6
Canada,NA,NA
Germany,4,6
Bulgaria,6,6
India,6,6
Italy,6,6
Germany,6,6
United Kingdom,6,6
Germany,NA,NA
India,8,6
India,8,6
France,4,6
United Kingdom,6,6
United Kingdom,5,6
Belgium,7,6
Italy,7,6
Canada,NA,NA
United Kingdom,6,6
United Kingdom,7,6
India,5,6
India,6,6
United Kingdom,5,6
Germany,NA,6
India,8,6
Netherlands,7,6
Brazil,6,6
India,7,6
United Kingdom,8,6
Italy,7,6
Germany,5,6
United Kingdom,5,6
United Kingdom,4,6
Canada,NA,NA
India,7,6
Belgium,6,6
France,NA,6
France,7,6
Netherlands,6,6
Germany,4,6
India,4,6
Canada,3,6
India,4,6
India,NA,6
United Kingdom,7,6
United States,2,6
Germany,7,6
Germany,5,6
United States,8,6
Germany,8,6
United Kingdom,6,6
United States,7,6
United States,5,6
United States,NA,NA
United Kingdom,4,6
Germany,5,6
France,6,6
Canada,6,6
United Kingdom,7,6
United Kingdom,6,6
United Kingdom,6,6
United Kingdom,3,6
United States,NA,NA
United Kingdom,8,6
Germany,7,6
India,4,6
Germany,8,6
United States,NA,NA
Canada,6,6
United States,NA,6
India,NA,6
India,NA,6
United States,NA,NA
France,8,6
Germany,8,6
Brazil,NA,NA
United Kingdom,6,6
United States,NA,NA
Bangladesh,5,6
Canada,NA,NA
Canada,6,6
Canada,6,6
United Kingdom,8,6
United Kingdom,0,6
United States,5,6
United States,7,6
United States,7,6
Italy,NA,6
United States,4,6
United States,NA,NA
Canada,NA,NA
United Kingdom,7,6
United States,8,6
United States,7,6
Germany,NA,6
France,10,6
Canada,NA,NA
Germany,5,6
Germany,6,6
United States,7,6
Canada,5,6
United States,NA,NA
United Kingdom,NA,6
India,NA,NA
United States,NA,NA
United States,3,6
United States,7,6
India,6,6
Brazil,NA,NA
Germany,6,6
United Kingdom,8,6
Bulgaria,5,6
Canada,NA,NA
United Kingdom,7,6
Italy,1,6
France,6,6
France,8,6
Germany,8,6
United Kingdom,6,6
United Kingdom,7,6
France,6,6
Germany,2,6
United Kingdom,6,6
Germany,4,6
France,6,6
Germany,6,6
France,5,6
Italy,6,6
Italy,3,6
United States,NA,6
United Kingdom,3,6
United Kingdom,6,6
United Kingdom,6,6
United Kingdom,5,6
France,5,6
Germany,3,6
Italy,7,6
United Kingdom,7,6
Germany,7,6
United Kingdom,6,6
Germany,4,6
United Kingdom,5,6
United Kingdom,4,6
Netherlands,8,6
Netherlands,NA,6
India,8,6
Germany,7,6
Germany,10,6
France,7,6
United States,6,6
United Kingdom,6,6
United States,7,6
France,6,6
Brazil,4,6
France,6,6
United States,7,6
United States,4,6
United States,5,6
India,NA,NA
United Kingdom,2,6
United States,5,6
France,6,6
France,7,6
Belgium,6,6
France,5,6
United Kingdom,6,6
United States,6,6
United States,6,6
France,NA,6
